,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,Yanam,16.73,82.22,86.0,74,90,3.36,IN,1592281051
287,Lianran,24.92,102.48,68.0,82,75,17.9,CN,1592281051
288,Bud,39.45,-86.18,64.99,85,0,6.13,US,1592281051
289,Genhe,50.78,121.52,77.74,33,62,6.55,CN,1592281051
290,Jacareacanga,-6.22,-57.75,73.45,83,23,0.51,BR,1592281052
291,Linhares,-19.39,-40.07,67.6,97,21,3.96,BR,1592281023
292,Aleksandrovsk-Sakhalinskiy,50.9,142.16,52.7,68,96,11.59,RU,1592281052
293,Marsaxlokk,35.84,14.54,68.0,88,0,11.41,MT,1592281052
294,Altamira,-3.2,-52.21,74.03,90,58,0.45,BR,1592281052
295,Naze,28.37,129.48,84.2,79,75,14.99,JP,1592281052
296,Nova Viçosa,-17.89,-39.37,75.81,77,89,13.35,BR,1592281053
297,Tabory,58.52,64.55,68.32,59,28,5.7,RU,1592281053
298,Kolyshley,52.7,44.54,62.01,79,45,6.67,RU,1592281053
299,Veracruz,19.33,-96.67,82.0,78,40,6.93,MX,1592280871
300,Viedma,-40.81,-63.0,47.91,53,100,10.54,AR,1592281053
301,Nouadhibou,20.93,-17.03,84.2,45,13,21.92,MR,1592281053
302,Sechura,-5.56,-80.82,66.31,78,3,10.4,PE,1592281053
303,Macia,-25.03,33.1,58.53,89,88,7.7,MZ,1592281054
304,Hudiksvall,61.73,17.1,63.88,70,0,6.96,SE,1592280246
305,Sibolga,1.74,98.78,87.28,58,100,3.71,ID,1592281054
306,Guerrero Negro,27.98,-114.06,63.27,87,0,14.14,MX,1592281054
307,Harrison,30.41,-89.04,78.8,78,40,4.7,US,1592281057
308,Obo,5.4,26.49,66.38,97,0,2.26,CF,1592281058
309,Ayan,56.45,138.17,50.4,66,90,3.98,RU,1592281058
310,Lorengau,-2.02,147.27,85.08,73,100,10.92,PG,1592281058
311,Strezhevoy,60.73,77.59,60.8,59,18,8.95,RU,1592281058
312,Wuwei,37.93,102.64,71.01,51,100,8.39,CN,1592281058
313,Ambilobe,-13.2,49.05,69.4,85,99,3.78,MG,1592281058
314,Gillette,44.29,-105.5,71.6,43,1,20.8,US,1592280509
315,Pangnirtung,66.15,-65.71,34.09,89,100,2.01,CA,1592281059
316,Lüderitz,-26.65,15.16,65.1,25,0,25.88,NA,1592281059
317,Nishihara,26.18,127.76,87.8,84,75,11.41,JP,1592281059
318,Caravelas,-17.71,-39.25,75.9,76,100,10.89,BR,1592281059
319,Toora-Khem,52.47,96.11,66.11,35,10,5.17,RU,1592281059
320,Prince Rupert,54.32,-130.32,55.4,76,75,3.36,CA,1592281060
321,Vilhena,-12.74,-60.15,67.1,81,5,2.42,BR,1592280763
322,Gushikawa,26.35,127.87,87.8,84,75,16.11,JP,1592281060
323,Tasiilaq,65.61,-37.64,37.4,86,39,4.7,GL,1592281060
324,Mayumba,-3.43,10.66,71.13,91,41,1.81,GA,1592281060
325,Sola,-13.88,167.55,80.8,78,100,23.87,VU,1592281060
326,Tshela,-4.98,12.93,69.98,91,80,1.1,CD,1592281060
327,Adrar,20.5,-10.07,95.61,15,0,18.23,MR,1592281060
328,Ostrovskoye,57.81,42.24,62.64,78,5,4.99,RU,1592280522
329,Maracaibo,10.63,-71.64,81.61,82,100,6.87,VE,1592280888
330,Hvide Sande,56.0,8.13,53.01,83,0,3.4,DK,1592281061
331,Hobyo,5.35,48.53,80.17,68,68,23.49,SO,1592281061
332,Marabu,4.41,114.01,86.0,79,75,5.82,MY,1592281061
333,Charagua,-19.8,-63.22,63.36,78,0,7.61,BO,1592281061
334,Galway,53.27,-9.05,55.4,100,90,5.82,IE,1592280967
335,Mayor Pablo Lagerenza,-19.93,-60.77,67.75,75,0,6.93,PY,1592281062
336,Berlevåg,70.86,29.09,41.0,75,75,17.22,NO,1592281062
337,Departamento de Maldonado,-34.67,-54.92,57.0,88,61,5.01,UY,1592281062
338,Tarauacá,-8.16,-70.77,72.14,86,40,1.12,BR,1592281062
339,Port Hedland,-20.32,118.57,86.0,20,0,13.87,AU,1592280908
340,Ntcheu,-14.82,34.64,50.29,90,3,5.48,MW,1592281062
341,Bulembu,-25.97,31.13,55.4,71,24,3.49,SZ,1592281063
342,Pak Phanang,8.35,100.2,89.6,70,20,4.7,TH,1592281063
343,Bambous Virieux,-20.34,57.76,71.6,73,40,14.99,MU,1592281063
344,São João da Barra,-21.64,-41.05,69.64,82,100,14.03,BR,1592281063
345,Santiago del Estero,-27.8,-64.26,58.93,59,27,7.45,AR,1592281063
346,Mehamn,71.04,27.85,41.0,75,75,17.22,NO,1592281063
347,Provideniya,64.38,-173.3,57.2,58,70,8.95,RU,1592281064
348,Znamensk,48.58,45.73,71.58,37,0,16.71,RU,1592281064
349,The Pas,53.83,-101.25,62.6,59,1,6.93,CA,1592281064
350,Mount Isa,-20.73,139.5,77.0,38,14,9.17,AU,1592281064
351,Tilichiki,60.47,166.1,53.22,58,30,9.1,RU,1592281064
352,Grand Gaube,-20.01,57.66,70.0,74,88,5.99,MU,1592281064
353,Ol'ga,43.74,135.29,60.93,69,90,3.06,RU,1592281064
354,Mindelo,16.89,-24.98,80.6,65,0,6.93,CV,1592281064
355,Chernyshevskiy,63.01,112.47,64.98,36,30,6.64,RU,1592280268
356,Alikalia,9.17,-11.4,72.7,97,99,3.38,SL,1592281065
357,Dakar,14.69,-17.44,78.8,94,99,6.93,SN,1592280800
358,Hirara,24.8,125.28,87.8,79,40,19.46,JP,1592281065
359,Aranos,-24.13,19.12,37.85,63,0,8.79,NA,1592281065
360,Gornopravdinsk,60.05,69.9,67.5,58,28,6.78,RU,1592281065
361,Pozhva,59.09,56.08,63.61,68,65,6.24,RU,1592281066
362,Esperance,-33.87,121.9,60.8,59,90,12.75,AU,1592280903
363,Praia,14.92,-23.51,78.8,88,20,3.36,CV,1592280780
364,Tazovsky,67.47,78.7,43.39,96,100,14.7,RU,1592281066
365,Bafoulabé,13.81,-10.83,81.55,62,84,2.28,ML,1592281066
366,Solnechnyy,50.72,136.63,49.33,74,100,8.86,RU,1592281066
367,Hushitai,41.93,123.51,82.4,34,0,6.71,CN,1592281066
368,Codrington,-38.27,141.97,59.04,70,87,17.16,AU,1592281066
369,Camden,39.78,-74.97,59.0,87,100,7.09,US,1592280819
370,Zhigansk,66.77,123.37,60.24,71,97,21.45,RU,1592281067
371,Dunedin,-45.87,170.5,59.0,63,17,1.99,NZ,1592280918
372,Lata,40.16,-8.33,61.0,90,81,0.43,PT,1592281067
373,Grindavik,63.84,-22.43,44.6,87,40,14.99,IS,1592281067
374,Estación Coahuila,32.19,-115.0,87.8,22,1,14.99,MX,1592281067
375,Berbera,10.44,45.01,90.1,45,37,18.9,SO,1592281067
376,Rio Grande,-32.03,-52.1,59.76,91,75,11.63,BR,1592280362
377,Petites Anses,15.85,-61.64,80.6,74,6,5.82,GP,1592281068
378,Khawhai,23.37,93.12,74.95,83,99,2.75,IN,1592281068
379,Eureka,40.8,-124.16,57.99,85,23,1.99,US,1592280966
380,Micheweni,-4.97,39.83,77.45,72,93,15.75,TZ,1592280484
381,Anadyr,64.75,177.48,57.2,47,55,8.95,RU,1592281068
382,Khāsh,28.22,61.22,92.41,10,85,3.87,IR,1592281069
383,Turbat,26.0,63.04,88.02,59,47,4.29,PK,1592281069
384,Tire,38.09,27.74,66.2,82,0,6.93,TR,1592281069
385,Puerto Asís,0.51,-76.5,70.36,92,77,1.19,CO,1592281069
386,Katsuura,35.13,140.3,86.0,61,75,13.87,JP,1592281069
387,Tāybād,34.74,60.78,90.97,11,0,15.93,IR,1592281069
388,Spartanburg,34.95,-81.93,61.0,72,90,14.99,US,1592281070
389,Nazca,-14.83,-74.95,62.67,64,0,2.35,PE,1592281070
390,Okha,53.57,142.95,41.79,83,97,9.95,RU,1592281070
391,Dalbandin,28.89,64.41,98.8,8,0,10.51,PK,1592281070
392,São Gabriel da Cachoeira,-0.13,-67.09,72.55,97,99,1.45,BR,1592281070
393,Samarai,-10.62,150.67,80.1,81,72,19.24,PG,1592281070
394,Marawi,8.0,124.29,82.99,79,4,5.99,PH,1592281070
395,Marovoay,-16.1,46.63,73.4,73,40,4.7,MG,1592281071
396,Sobolevo,54.43,31.9,66.24,94,92,7.52,RU,1592281071
397,Camacupa,-12.02,17.48,46.78,79,0,4.12,AO,1592281071
398,Liberty,31.83,-81.5,66.99,82,90,5.82,US,1592281071
399,Wairoa,-39.03,177.37,60.01,52,100,4.0,NZ,1592281071
400,Methóni,36.82,21.7,69.01,82,0,5.82,GR,1592281071
401,Falmouth,50.15,-5.07,59.0,100,100,6.93,GB,1592280969
402,Lishui,28.46,119.91,95.36,48,60,4.32,CN,1592281072
403,Popondetta,-8.75,148.25,82.53,87,92,2.91,PG,1592281072
404,Quirinópolis,-18.45,-50.45,63.55,67,0,5.37,BR,1592281072
405,Zhireken,52.82,117.31,83.48,27,57,4.85,RU,1592281072
406,Boende,-0.22,20.87,71.94,80,0,0.25,CD,1592281072
407,Karwar,14.8,74.13,81.9,85,100,14.5,IN,1592281072
408,Río Gallegos,-51.62,-69.22,26.6,92,99,3.36,AR,1592281073
409,Tobermory,45.25,-81.67,53.28,73,66,6.69,CA,1592281073
410,Santa Rosa,14.31,121.11,93.2,59,40,6.93,PH,1592280522
411,Garoowe,8.41,48.48,78.48,61,83,28.59,SO,1592281073
412,Hearst,49.68,-83.67,57.61,50,31,9.8,CA,1592281073
413,Roseau,15.3,-61.39,80.24,77,17,12.46,DM,1592281073
414,Qasigiannguit,68.82,-51.19,37.4,64,15,5.82,GL,1592281073
415,Manzhouli,49.6,117.43,83.82,24,11,3.85,CN,1592281073
416,Fiumicino,41.77,12.23,64.0,93,3,3.36,IT,1592281074
417,Fairbanks,64.84,-147.72,60.8,77,75,11.41,US,1592280902
418,Anchorage,61.22,-149.9,64.4,45,1,9.17,US,1592280950
419,Kumul,42.8,93.45,88.23,13,0,1.59,CN,1592281074
420,Opuwo,-18.06,13.84,52.48,52,0,8.46,NA,1592281074
421,Kreminna,49.05,38.22,67.37,52,66,13.27,UA,1592281074
422,Mbandaka,0.05,18.26,71.53,89,0,2.75,CD,1592281074
423,Jinka,5.65,36.65,61.56,93,79,4.21,ET,1592281075
424,San Miguel,13.48,-88.18,75.24,94,100,0.76,SV,1592281075
425,Ust-Nera,64.57,143.2,73.53,31,17,6.02,RU,1592281075
426,Lang Suan,9.95,99.08,87.8,70,40,8.05,TH,1592281075
427,Morro Bay,35.37,-120.85,71.01,90,100,1.99,US,1592281075
428,Mirny,62.54,113.96,71.6,30,6,8.95,RU,1592281075
429,Belmonte,-15.86,-38.88,69.8,94,90,8.05,BR,1592281075
430,Kīhei,20.79,-156.47,84.2,54,40,23.04,US,1592281076
431,Puerto Nariño,-3.77,-70.38,73.4,100,65,1.34,CO,1592281076
432,Atambua,-9.11,124.89,83.21,59,97,4.43,ID,1592281076
433,Saint Anthony,45.02,-93.22,75.99,50,1,14.99,US,1592281076
434,Porbandar,21.64,69.61,87.49,75,87,10.47,IN,1592281076
435,Yabrūd,33.97,36.66,60.8,87,0,11.41,SY,1592281076
436,Rørvik,64.86,11.24,53.71,94,95,5.28,NO,1592280521
437,La Ronge,55.1,-105.28,55.4,87,75,10.29,CA,1592281077
438,Marsh Harbour,26.54,-77.06,79.74,77,100,11.21,BS,1592281077
439,Manono,-7.3,27.42,61.27,57,0,3.11,CD,1592281077
440,Jequié,-13.86,-40.08,68.52,91,87,3.36,BR,1592281077
441,Maragogi,-9.01,-35.22,76.51,84,53,14.32,BR,1592281077
442,Kiunga,-6.12,141.29,83.41,83,62,4.16,PG,1592281077
443,Sol'tsy,58.12,30.32,67.41,86,12,2.26,RU,1592281078
444,Port Antonio,18.18,-76.46,75.99,95,100,7.25,JM,1592281078
445,Chimoré,-16.98,-65.13,67.6,80,0,2.01,BO,1592281078
446,Inhambane,-23.86,35.38,65.98,80,82,10.92,MZ,1592281078
447,Bārmer,25.75,71.38,100.2,27,0,14.16,IN,1592280506
448,Sharjah city,25.36,55.4,87.8,70,56,9.17,AE,1592281078
449,Kano,12.0,8.52,80.6,78,100,8.05,NG,1592280876
450,Raton,36.9,-104.44,69.8,37,1,11.41,US,1592280517
451,Ilebo,-4.32,20.58,65.95,62,1,1.99,CD,1592281078
452,Sehithwa,-20.47,22.72,49.33,47,0,6.55,BW,1592281079
453,Darhan,49.49,105.92,78.84,41,79,6.96,MN,1592281079
454,Robstown,27.79,-97.67,80.01,88,20,8.05,US,1592281079
455,Oudtshoorn,-33.59,22.2,46.4,87,0,4.7,ZA,1592281079
456,Carballo,43.21,-8.69,57.99,98,90,2.91,ES,1592281079
457,Nome,64.5,-165.41,66.0,51,1,8.05,US,1592281079
458,Foshan,23.03,113.13,96.01,59,40,13.42,CN,1592281080
459,Vuktyl,63.86,57.31,63.19,74,100,2.86,RU,1592281080
460,Beira,-19.84,34.84,69.8,60,75,10.29,MZ,1592281080
461,Montmagny,48.97,2.35,61.0,93,90,3.36,FR,1592281080
462,Prome,18.82,95.22,86.38,70,100,13.02,MM,1592281080
463,Sembakung,3.82,117.25,95.0,50,98,1.57,ID,1592281080
464,Coruripe,-10.13,-36.18,75.94,82,88,13.44,BR,1592281080
465,Rocha,-34.48,-54.33,52.63,93,41,10.47,UY,1592281081
466,Yei,4.09,30.68,65.61,93,88,3.04,SS,1592281081
467,Camabatela,-8.19,15.38,58.86,46,0,5.19,AO,1592281081
468,Rincon,32.3,-81.24,68.0,77,90,13.87,US,1592281081
469,Shenjiamen,29.96,122.3,76.46,94,100,10.31,CN,1592281081
470,Martapura,-3.42,114.85,80.83,76,98,5.82,ID,1592281081
471,Katobu,-4.94,122.53,82.49,81,86,7.29,ID,1592281082
472,Ahtopol,42.1,27.95,68.0,94,40,4.7,BG,1592281082
473,Toamasina,-18.17,49.38,66.2,93,75,13.87,MG,1592280532
474,Sept-Îles,50.2,-66.38,42.8,87,40,3.2,CA,1592281082
475,Karang Tengah,-7.58,111.86,87.24,64,100,3.53,ID,1592281082
476,Rivadavia,-33.19,-68.46,41.0,60,0,3.36,AR,1592281082
477,Ahipara,-35.17,173.17,60.01,78,100,9.4,NZ,1592281083
478,Sevasti,40.36,22.54,73.99,55,3,5.01,GR,1592281083
479,Gouré,13.98,10.27,87.01,55,59,1.99,NE,1592281083
480,Ossora,59.24,163.07,54.82,64,0,7.78,RU,1592281083
481,Bedēsa,8.9,40.78,62.8,85,9,5.77,ET,1592281083
482,Māngrol,21.12,70.12,87.57,76,99,10.92,IN,1592280528
483,Khovd,48.01,91.64,73.65,27,3,8.1,MN,1592281083
484,Kaitangata,-46.28,169.85,55.99,63,100,3.0,NZ,1592281083
485,Chimbote,-9.09,-78.58,63.82,84,92,4.81,PE,1592281084
486,Maningrida,-12.07,134.27,87.78,47,50,13.49,AU,1592281084
487,Vao,-22.67,167.48,73.81,75,3,17.58,NC,1592281084
488,Elyria,41.37,-82.11,62.01,63,1,8.68,US,1592280900
489,Ligayan,4.65,119.47,83.77,72,100,1.25,PH,1592281084
490,Portlethen,57.05,-2.13,53.01,100,90,4.7,GB,1592281084
491,Arman',59.7,150.17,61.29,45,0,6.85,RU,1592281084
492,Kavaratti,10.57,72.64,84.2,79,90,11.41,IN,1592281085
493,Worthington,40.09,-83.02,66.2,68,1,3.36,US,1592280313
494,Payo,-3.75,103.64,87.76,60,94,4.12,ID,1592281085
495,Esmeraldas,-19.76,-44.31,64.4,88,75,10.29,BR,1592281085
496,Riberalta,-10.98,-66.1,71.26,85,42,1.77,BO,1592281085
497,Gizo Government Station,-8.1,156.84,83.25,75,57,10.11,SB,1592281085
498,Catuday,16.29,119.81,85.93,70,37,8.79,PH,1592281086
499,Say,13.1,2.37,86.0,62,48,5.82,NE,1592281086
500,Zastron,-30.3,27.08,27.23,85,0,3.29,ZA,1592281086
501,Likhoy,48.13,40.21,66.13,55,88,14.45,RU,1592281086
502,Ordzhonīkīdze,52.44,61.74,66.78,52,0,10.96,KZ,1592281086
503,Sanmenxia,34.77,111.18,70.14,82,100,10.27,CN,1592281086
504,Betioky,-23.72,44.38,58.32,85,0,4.36,MG,1592281086
505,General Roca,-39.03,-67.58,33.8,80,100,6.93,AR,1592281086
506,Assiut,27.18,31.18,71.6,49,0,13.87,EG,1592281087
507,Bonthe,7.53,-12.51,78.1,87,68,5.99,SL,1592281087
508,Gombong,-7.61,109.51,85.98,71,32,6.17,ID,1592280989
509,Vestmannaeyjar,63.44,-20.27,47.26,67,92,6.33,IS,1592281087
510,Qingdao,36.1,120.37,98.01,33,93,2.24,CN,1592281087
511,Kuching,1.55,110.33,80.6,88,40,1.12,MY,1592281018
512,Pimentel,-6.84,-79.93,64.4,77,57,13.87,PE,1592281087
513,Svetlaya,46.54,138.33,49.91,85,100,14.52,RU,1592281088
514,Priargunsk,50.37,119.1,83.66,29,10,6.58,RU,1592281088
515,Sri Aman,1.24,111.46,82.4,83,75,5.82,MY,1592281088
516,Araouane,18.9,-3.53,95.43,10,6,13.13,ML,1592281088
517,Kiama,-34.68,150.87,71.01,49,1,10.0,AU,1592281088
518,Antigonish,45.62,-62.0,46.99,70,75,2.15,CA,1592281088
519,General Pico,-35.66,-63.76,48.02,71,100,11.83,AR,1592281088
520,Torbay,47.67,-52.73,51.01,100,90,5.82,CA,1592281089
521,Kozlovka,55.84,48.25,64.4,68,0,6.71,RU,1592281089
522,Tolaga Bay,-38.37,178.3,56.41,73,100,3.6,NZ,1592281089
523,Sangar,63.92,127.47,70.66,47,11,10.83,RU,1592281089
524,Riyadh,24.69,46.72,82.4,24,0,7.81,SA,1592280904
525,Muros,42.78,-9.06,57.0,93,97,1.99,ES,1592281089
526,Byron Bay,-28.65,153.62,69.8,73,27,10.29,AU,1592281089
527,Baoqing,46.33,132.21,64.11,70,68,5.28,CN,1592281089
528,Durham,36.03,-78.87,60.8,87,90,12.75,US,1592281090
529,Rome,43.21,-75.46,54.0,81,1,3.36,US,1592281015
530,Tacoronte,28.48,-16.41,73.0,64,65,10.29,ES,1592281090
531,Richards Bay,-28.78,32.04,55.13,74,1,8.23,ZA,1592281090
532,Joshīmath,30.57,79.57,72.9,31,4,5.64,IN,1592281090
533,Jasper,37.2,-94.35,75.99,69,20,4.7,US,1592281090
534,Ponta Delgada,37.73,-25.67,60.8,77,20,8.05,PT,1592281090
535,Boa Vista,2.82,-60.67,75.2,88,57,1.12,BR,1592281091
536,Fabriano,43.34,12.91,57.99,82,75,2.24,IT,1592281091
537,Wenatchee,47.42,-120.31,59.0,82,75,5.66,US,1592281061
538,Port-Gentil,-0.72,8.78,74.16,89,40,12.39,GA,1592281091
539,Acapulco de Juárez,16.86,-99.89,81.59,77,81,7.56,MX,1592281091
540,Zhuanghe,39.7,122.99,82.99,35,82,4.38,CN,1592281091
541,Hinton,53.4,-117.59,52.05,49,47,4.63,CA,1592281091
542,Ulaanbaatar,47.91,106.88,80.6,14,75,11.18,MN,1592280896
543,Coalinga,36.14,-120.36,82.0,42,100,7.87,US,1592280974
544,Cap Malheureux,-19.98,57.61,70.0,74,84,5.99,MU,1592281092
545,Nynäshamn,58.9,17.95,64.4,55,80,8.05,SE,1592281092
546,Harper,4.38,-7.72,77.27,83,72,6.11,LR,1592281092
547,Bestöbe,52.5,73.1,63.1,48,90,14.58,KZ,1592281092
548,La Orilla,17.98,-102.23,78.87,81,10,5.32,MX,1592281092
549,Smoky Lake,54.12,-112.47,52.0,91,50,9.24,CA,1592281092
550,Grootfontein,-19.57,18.12,41.52,68,0,3.36,NA,1592281093
551,Grand Baie,-20.02,57.58,70.0,74,79,5.99,MU,1592281093
552,Babynino,54.39,35.73,64.4,77,92,4.47,RU,1592281093
553,Avera,33.19,-82.53,64.4,88,40,6.93,US,1592281093
554,Meybod,32.25,54.02,82.4,11,0,6.93,IR,1592281093
555,Kibungo,-2.16,30.54,55.22,92,31,1.68,RW,1592281093
556,Skegness,53.14,0.34,55.0,96,100,4.0,GB,1592281094
557,Saint-Augustin,51.23,-58.65,54.48,48,86,10.02,CA,1592281094
558,Auki,-8.77,160.7,83.16,78,98,7.36,SB,1592280505
559,Isla Mujeres,21.23,-86.73,82.0,83,75,3.36,MX,1592280509
560,Soto la Marina,23.77,-98.22,79.0,87,0,1.01,MX,1592281094
561,Curuçá,-0.73,-47.85,74.46,96,90,4.03,BR,1592281094
562,Yebaishou,41.4,119.64,92.53,16,40,4.85,CN,1592281094
563,Saint-Paul,-21.01,55.27,69.8,64,75,18.34,RE,1592281095
564,Atar,20.52,-13.05,93.92,19,3,12.73,MR,1592281095
565,Picton,-34.18,150.6,66.99,48,9,8.01,AU,1592281095
566,Narón,43.52,-8.15,60.01,93,75,6.93,ES,1592281095
567,Arkansas City,37.06,-97.04,78.8,57,1,8.05,US,1592281095
568,Kaeo,-35.1,173.78,57.0,3,100,3.0,NZ,1592281095
569,Bonfim,3.08,-59.95,74.77,91,69,3.15,BR,1592281095
570,Lázaro Cárdenas,17.96,-102.2,79.3,80,10,5.3,MX,1592281095
571,Tupanciretã,-29.08,-53.84,58.96,95,0,8.03,BR,1592281096
572,Vélez-Málaga,36.77,-4.1,73.0,34,100,8.7,ES,1592281096
573,Uchaly,54.3,59.45,63.05,59,14,4.12,RU,1592281096
